Education,JoiningYear,PaymentTier,Age,ExperienceInCurrentDomain,LeaveOrNot,city_is_bangalore,city_is_pune,city_is_new_delhi,gender_is_male,gender_is_female,is_ever_benched,is_never_benched,Education_intervals,Education_categories,JoiningYear_intervals,JoiningYear_categories,PaymentTier_intervals,PaymentTier_categories,Age_intervals,Age_categories,ExperienceInCurrentDomain_intervals,ExperienceInCurrentDomain_categories
Bachelors,2014,3,34,4,0,0,1,0,1,0,0,1,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(12, 12)",12,"(4, 4)",4
Bachelors,2015,2,30,0,1,0,1,0,0,1,0,1,"(1, 1)",1,"(3, 3)",3,"(2, 2)",2,"(8, 8)",8,"(0, 0)",0
Bachelors,2016,2,22,0,1,0,0,1,0,1,0,1,"(1, 1)",1,"(4, 4)",4,"(2, 2)",2,"(0, 0)",0,"(0, 0)",0
Bachelors,2012,3,37,0,0,1,0,0,1,0,0,1,"(1, 1)",1,"(0, 0)",0,"(3, 3)",3,"(15, 15)",15,"(0, 0)",0
Masters,2017,2,28,4,0,0,0,1,1,0,0,1,"(2, 2)",2,"(5, 5)",5,"(2, 2)",2,"(6, 6)",6,"(4, 4)",4
Bachelors,2017,2,36,3,0,0,0,1,1,0,0,1,"(1, 1)",1,"(5, 5)",5,"(2, 2)",2,"(14, 14)",14,"(3, 3)",3
Bachelors,2015,3,27,5,0,1,0,0,1,0,1,0,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3,"(5, 5)",5,"(5, 5)",5
Bachelors,2017,3,29,4,0,1,0,0,1,0,0,1,"(1, 1)",1,"(5, 5)",5,"(3, 3)",3,"(7, 7)",7,"(4, 4)",4
Bachelors,2013,3,22,0,0,1,0,0,0,1,1,0,"(1, 1)",1,"(1, 1)",1,"(3, 3)",3,"(0, 0)",0,"(0, 0)",0
Bachelors,2016,3,37,2,0,1,0,0,1,0,0,1,"(1, 1)",1,"(4, 4)",4,"(3, 3)",3,"(15, 15)",15,"(2, 2)",2
Bachelors,2015,3,23,1,0,1,0,0,1,0,0,1,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3,"(1, 1)",1,"(1, 1)",1
Bachelors,2013,2,31,2,1,0,1,0,0,1,0,1,"(1, 1)",1,"(1, 1)",1,"(2, 2)",2,"(9, 9)",9,"(2, 2)",2
PHD,2013,3,25,3,0,0,0,1,1,0,0,1,"(3, 3)",3,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3,"(3, 3)",3
Bachelors,2014,3,23,1,0,1,0,0,1,0,0,1,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(1, 1)",1,"(1, 1)",1
Bachelors,2018,3,26,4,1,1,0,0,1,0,0,1,"(1, 1)",1,"(6, 6)",6,"(3, 3)",3,"(4, 4)",4,"(4, 4)",4
Bachelors,2016,3,40,5,0,1,0,0,1,0,0,1,"(1, 1)",1,"(4, 4)",4,"(3, 3)",3,"(18, 18)",18,"(5, 5)",5
Bachelors,2017,2,37,0,1,0,1,0,0,1,0,1,"(1, 1)",1,"(5, 5)",5,"(2, 2)",2,"(15, 15)",15,"(0, 0)",0
Bachelors,2014,1,30,3,0,1,0,0,0,1,0,1,"(1, 1)",1,"(2, 2)",2,"(1, 1)",1,"(8, 8)",8,"(3, 3)",3
Bachelors,2012,3,29,3,0,0,0,1,1,0,0,1,"(1, 1)",1,"(0, 0)",0,"(3, 3)",3,"(7, 7)",7,"(3, 3)",3
Bachelors,2018,2,34,0,1,0,0,1,0,1,0,1,"(1, 1)",1,"(6, 6)",6,"(2, 2)",2,"(12, 12)",12,"(0, 0)",0
Bachelors,2017,2,29,2,1,0,1,0,0,1,0,1,"(1, 1)",1,"(5, 5)",5,"(2, 2)",2,"(7, 7)",7,"(2, 2)",2
Bachelors,2014,3,30,4,0,0,1,0,1,0,1,0,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(8, 8)",8,"(4, 4)",4
Bachelors,2015,3,36,1,0,1,0,0,1,0,0,1,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3,"(14, 14)",14,"(1, 1)",1
Bachelors,2013,3,30,3,1,1,0,0,1,0,0,1,"(1, 1)",1,"(1, 1)",1,"(3, 3)",3,"(8, 8)",8,"(3, 3)",3
Bachelors,2014,3,36,0,0,1,0,0,1,0,0,1,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(14, 14)",14,"(0, 0)",0
Bachelors,2015,3,39,4,0,0,1,0,1,0,0,1,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3,"(17, 17)",17,"(4, 4)",4
Bachelors,2014,3,23,1,0,1,0,0,0,1,0,1,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(1, 1)",1,"(1, 1)",1
PHD,2012,3,27,5,0,0,0,1,1,0,0,1,"(3, 3)",3,"(0, 0)",0,"(3, 3)",3,"(5, 5)",5,"(5, 5)",5
Masters,2013,3,35,2,0,0,0,1,1,0,0,1,"(2, 2)",2,"(1, 1)",1,"(3, 3)",3,"(13, 13)",13,"(2, 2)",2
Masters,2017,2,34,0,0,0,0,1,1,0,0,1,"(2, 2)",2,"(5, 5)",5,"(2, 2)",2,"(12, 12)",12,"(0, 0)",0
PHD,2017,3,34,2,0,0,0,1,1,0,0,1,"(3, 3)",3,"(5, 5)",5,"(3, 3)",3,"(12, 12)",12,"(2, 2)",2
Bachelors,2015,2,26,4,1,0,1,0,0,1,0,1,"(1, 1)",1,"(3, 3)",3,"(2, 2)",2,"(4, 4)",4,"(4, 4)",4
Bachelors,2016,3,34,0,0,1,0,0,0,1,0,1,"(1, 1)",1,"(4, 4)",4,"(3, 3)",3,"(12, 12)",12,"(0, 0)",0
Bachelors,2014,3,31,5,0,1,0,0,0,1,1,0,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(9, 9)",9,"(5, 5)",5
Bachelors,2017,3,31,5,0,0,0,1,0,1,1,0,"(1, 1)",1,"(5, 5)",5,"(3, 3)",3,"(9, 9)",9,"(5, 5)",5
PHD,2013,3,28,2,0,0,0,1,1,0,0,1,"(3, 3)",3,"(1, 1)",1,"(3, 3)",3,"(6, 6)",6,"(2, 2)",2
Masters,2014,3,39,2,0,0,1,0,0,1,0,1,"(2, 2)",2,"(2, 2)",2,"(3, 3)",3,"(17, 17)",17,"(2, 2)",2
Bachelors,2013,3,32,4,0,0,1,0,1,0,0,1,"(1, 1)",1,"(1, 1)",1,"(3, 3)",3,"(10, 10)",10,"(4, 4)",4
Masters,2013,3,29,3,0,0,0,1,1,0,0,1,"(2, 2)",2,"(1, 1)",1,"(3, 3)",3,"(7, 7)",7,"(3, 3)",3
Bachelors,2015,3,30,5,0,1,0,0,1,0,0,1,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3,"(8, 8)",8,"(5, 5)",5
PHD,2013,2,25,3,1,1,0,0,1,0,0,1,"(3, 3)",3,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(3, 3)",3
Bachelors,2014,1,22,0,1,0,1,0,0,1,0,1,"(1, 1)",1,"(2, 2)",2,"(1, 1)",1,"(0, 0)",0,"(0, 0)",0
Bachelors,2016,3,34,4,0,1,0,0,1,0,0,1,"(1, 1)",1,"(4, 4)",4,"(3, 3)",3,"(12, 12)",12,"(4, 4)",4
Bachelors,2018,3,40,1,1,1,0,0,1,0,0,1,"(1, 1)",1,"(6, 6)",6,"(3, 3)",3,"(18, 18)",18,"(1, 1)",1
PHD,2013,3,26,4,0,1,0,0,1,0,0,1,"(3, 3)",3,"(1, 1)",1,"(3, 3)",3,"(4, 4)",4,"(4, 4)",4
Bachelors,2014,3,28,0,0,0,0,1,1,0,0,1,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(6, 6)",6,"(0, 0)",0
Masters,2017,3,40,2,1,1,0,0,0,1,0,1,"(2, 2)",2,"(5, 5)",5,"(3, 3)",3,"(18, 18)",18,"(2, 2)",2
Bachelors,2018,3,23,1,1,1,0,0,0,1,0,1,"(1, 1)",1,"(6, 6)",6,"(3, 3)",3,"(1, 1)",1,"(1, 1)",1
Masters,2017,3,31,4,0,1,0,0,1,0,0,1,"(2, 2)",2,"(5, 5)",5,"(3, 3)",3,"(9, 9)",9,"(4, 4)",4
Bachelors,2014,1,23,1,0,1,0,0,0,1,0,1,"(1, 1)",1,"(2, 2)",2,"(1, 1)",1,"(1, 1)",1,"(1, 1)",1
Bachelors,2017,3,23,1,0,1,0,0,0,1,0,1,"(1, 1)",1,"(5, 5)",5,"(3, 3)",3,"(1, 1)",1,"(1, 1)",1
Bachelors,2012,3,39,1,0,1,0,0,1,0,0,1,"(1, 1)",1,"(0, 0)",0,"(3, 3)",3,"(17, 17)",17,"(1, 1)",1
PHD,2015,1,37,1,0,0,0,1,1,0,0,1,"(3, 3)",3,"(3, 3)",3,"(1, 1)",1,"(15, 15)",15,"(1, 1)",1
Bachelors,2017,3,38,2,0,0,1,0,1,0,0,1,"(1, 1)",1,"(5, 5)",5,"(3, 3)",3,"(16, 16)",16,"(2, 2)",2
Bachelors,2013,3,31,0,1,1,0,0,0,1,0,1,"(1, 1)",1,"(1, 1)",1,"(3, 3)",3,"(9, 9)",9,"(0, 0)",0
Bachelors,2016,3,38,5,0,1,0,0,1,0,0,1,"(1, 1)",1,"(4, 4)",4,"(3, 3)",3,"(16, 16)",16,"(5, 5)",5
Bachelors,2015,3,27,5,1,1,0,0,0,1,1,0,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3,"(5, 5)",5,"(5, 5)",5
Bachelors,2016,2,36,0,1,0,1,0,1,0,0,1,"(1, 1)",1,"(4, 4)",4,"(2, 2)",2,"(14, 14)",14,"(0, 0)",0
Bachelors,2017,2,27,5,1,0,1,0,0,1,0,1,"(1, 1)",1,"(5, 5)",5,"(2, 2)",2,"(5, 5)",5,"(5, 5)",5
Masters,2015,2,32,4,0,0,1,0,0,1,0,1,"(2, 2)",2,"(3, 3)",3,"(2, 2)",2,"(10, 10)",10,"(4, 4)",4
Bachelors,2014,3,28,4,0,1,0,0,1,0,0,1,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(6, 6)",6,"(4, 4)",4
Masters,2012,3,32,2,0,0,0,1,1,0,0,1,"(2, 2)",2,"(0, 0)",0,"(3, 3)",3,"(10, 10)",10,"(2, 2)",2
Bachelors,2018,3,30,0,1,1,0,0,1,0,0,1,"(1, 1)",1,"(6, 6)",6,"(3, 3)",3,"(8, 8)",8,"(0, 0)",0
Bachelors,2015,3,22,0,0,0,0,1,1,0,0,1,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3,"(0, 0)",0,"(0, 0)",0
Bachelors,2017,2,34,5,0,0,0,1,0,1,0,1,"(1, 1)",1,"(5, 5)",5,"(2, 2)",2,"(12, 12)",12,"(5, 5)",5
Masters,2013,3,36,2,0,0,0,1,1,0,0,1,"(2, 2)",2,"(1, 1)",1,"(3, 3)",3,"(14, 14)",14,"(2, 2)",2
PHD,2018,3,26,4,1,1,0,0,1,0,0,1,"(3, 3)",3,"(6, 6)",6,"(3, 3)",3,"(4, 4)",4,"(4, 4)",4
Bachelors,2016,3,31,0,0,1,0,0,0,1,0,1,"(1, 1)",1,"(4, 4)",4,"(3, 3)",3,"(9, 9)",9,"(0, 0)",0
Bachelors,2014,3,29,0,0,1,0,0,0,1,0,1,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(7, 7)",7,"(0, 0)",0
Masters,2012,3,25,3,1,0,1,0,1,0,0,1,"(2, 2)",2,"(0, 0)",0,"(3, 3)",3,"(3, 3)",3,"(3, 3)",3
Bachelors,2013,3,25,3,0,0,1,0,1,0,0,1,"(1, 1)",1,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3,"(3, 3)",3
Bachelors,2015,2,28,1,1,0,1,0,0,1,1,0,"(1, 1)",1,"(3, 3)",3,"(2, 2)",2,"(6, 6)",6,"(1, 1)",1
Bachelors,2017,3,28,2,0,0,0,1,1,0,0,1,"(1, 1)",1,"(5, 5)",5,"(3, 3)",3,"(6, 6)",6,"(2, 2)",2
Masters,2015,1,28,3,1,0,1,0,0,1,0,1,"(2, 2)",2,"(3, 3)",3,"(1, 1)",1,"(6, 6)",6,"(3, 3)",3
Masters,2015,3,25,3,0,0,0,1,1,0,0,1,"(2, 2)",2,"(3, 3)",3,"(3, 3)",3,"(3, 3)",3,"(3, 3)",3
Masters,2013,3,25,3,0,0,1,0,1,0,0,1,"(2, 2)",2,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3,"(3, 3)",3
Bachelors,2015,2,25,3,1,1,0,0,0,1,0,1,"(1, 1)",1,"(3, 3)",3,"(2, 2)",2,"(3, 3)",3,"(3, 3)",3
Bachelors,2017,2,27,5,1,0,1,0,0,1,0,1,"(1, 1)",1,"(5, 5)",5,"(2, 2)",2,"(5, 5)",5,"(5, 5)",5
Masters,2017,2,28,2,0,0,0,1,1,0,0,1,"(2, 2)",2,"(5, 5)",5,"(2, 2)",2,"(6, 6)",6,"(2, 2)",2
Bachelors,2014,1,26,4,1,0,1,0,0,1,0,1,"(1, 1)",1,"(2, 2)",2,"(1, 1)",1,"(4, 4)",4,"(4, 4)",4
Bachelors,2012,1,28,3,0,1,0,0,0,1,0,1,"(1, 1)",1,"(0, 0)",0,"(1, 1)",1,"(6, 6)",6,"(3, 3)",3
PHD,2015,3,26,4,0,0,0,1,1,0,0,1,"(3, 3)",3,"(3, 3)",3,"(3, 3)",3,"(4, 4)",4,"(4, 4)",4
Bachelors,2014,3,28,3,0,1,0,0,0,1,0,1,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(6, 6)",6,"(3, 3)",3
Masters,2014,3,24,2,0,0,1,0,1,0,0,1,"(2, 2)",2,"(2, 2)",2,"(3, 3)",3,"(2, 2)",2,"(2, 2)",2
Bachelors,2015,3,27,5,0,0,1,0,1,0,0,1,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3,"(5, 5)",5,"(5, 5)",5
Bachelors,2018,3,25,3,1,1,0,0,1,0,0,1,"(1, 1)",1,"(6, 6)",6,"(3, 3)",3,"(3, 3)",3,"(3, 3)",3
Masters,2013,1,24,2,1,0,1,0,1,0,0,1,"(2, 2)",2,"(1, 1)",1,"(1, 1)",1,"(2, 2)",2,"(2, 2)",2
Masters,2018,3,26,4,1,0,0,1,1,0,0,1,"(2, 2)",2,"(6, 6)",6,"(3, 3)",3,"(4, 4)",4,"(4, 4)",4
Bachelors,2012,3,28,2,0,0,1,0,1,0,0,1,"(1, 1)",1,"(0, 0)",0,"(3, 3)",3,"(6, 6)",6,"(2, 2)",2
Bachelors,2017,3,28,2,0,0,0,1,1,0,0,1,"(1, 1)",1,"(5, 5)",5,"(3, 3)",3,"(6, 6)",6,"(2, 2)",2
Bachelors,2013,3,26,4,0,1,0,0,1,0,0,1,"(1, 1)",1,"(1, 1)",1,"(3, 3)",3,"(4, 4)",4,"(4, 4)",4
Bachelors,2017,2,24,2,1,0,1,0,0,1,0,1,"(1, 1)",1,"(5, 5)",5,"(2, 2)",2,"(2, 2)",2,"(2, 2)",2
Bachelors,2017,3,28,2,0,0,0,1,0,1,0,1,"(1, 1)",1,"(5, 5)",5,"(3, 3)",3,"(6, 6)",6,"(2, 2)",2
Bachelors,2013,3,27,5,0,1,0,0,0,1,0,1,"(1, 1)",1,"(1, 1)",1,"(3, 3)",3,"(5, 5)",5,"(5, 5)",5
Masters,2015,2,28,3,0,0,1,0,0,1,0,1,"(2, 2)",2,"(3, 3)",3,"(2, 2)",2,"(6, 6)",6,"(3, 3)",3
Bachelors,2016,3,28,1,0,0,1,0,1,0,0,1,"(1, 1)",1,"(4, 4)",4,"(3, 3)",3,"(6, 6)",6,"(1, 1)",1
Masters,2013,1,25,3,1,1,0,0,1,0,0,1,"(2, 2)",2,"(1, 1)",1,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3
Bachelors,2015,3,26,4,0,0,1,0,1,0,0,1,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3,"(4, 4)",4,"(4, 4)",4
Bachelors,2018,3,27,5,1,0,0,1,0,1,0,1,"(1, 1)",1,"(6, 6)",6,"(3, 3)",3,"(5, 5)",5,"(5, 5)",5
Bachelors,2012,2,24,2,1,0,1,0,0,1,0,1,"(1, 1)",1,"(0, 0)",0,"(2, 2)",2,"(2, 2)",2,"(2, 2)",2
Bachelors,2016,2,24,2,1,0,1,0,0,1,0,1,"(1, 1)",1,"(4, 4)",4,"(2, 2)",2,"(2, 2)",2,"(2, 2)",2
Bachelors,2013,3,28,3,0,1,0,0,0,1,0,1,"(1, 1)",1,"(1, 1)",1,"(3, 3)",3,"(6, 6)",6,"(3, 3)",3
Bachelors,2014,3,28,3,0,1,0,0,0,1,0,1,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(6, 6)",6,"(3, 3)",3
Bachelors,2013,3,26,4,0,1,0,0,0,1,0,1,"(1, 1)",1,"(1, 1)",1,"(3, 3)",3,"(4, 4)",4,"(4, 4)",4
Bachelors,2015,3,28,3,0,1,0,0,1,0,0,1,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3,"(6, 6)",6,"(3, 3)",3
Masters,2015,3,26,4,1,0,0,1,1,0,0,1,"(2, 2)",2,"(3, 3)",3,"(3, 3)",3,"(4, 4)",4,"(4, 4)",4
Bachelors,2014,3,28,1,0,0,0,1,0,1,0,1,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(6, 6)",6,"(1, 1)",1
Bachelors,2015,3,25,3,0,0,1,0,1,0,0,1,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3,"(3, 3)",3,"(3, 3)",3
Masters,2015,2,28,2,0,0,1,0,0,1,0,1,"(2, 2)",2,"(3, 3)",3,"(2, 2)",2,"(6, 6)",6,"(2, 2)",2
Bachelors,2014,3,27,5,0,1,0,0,0,1,0,1,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(5, 5)",5,"(5, 5)",5
Bachelors,2013,3,26,4,0,1,0,0,1,0,0,1,"(1, 1)",1,"(1, 1)",1,"(3, 3)",3,"(4, 4)",4,"(4, 4)",4
Bachelors,2014,3,24,2,0,0,0,1,0,1,0,1,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(2, 2)",2,"(2, 2)",2
Bachelors,2015,3,27,5,0,0,1,0,1,0,0,1,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3,"(5, 5)",5,"(5, 5)",5
Bachelors,2018,3,24,2,1,1,0,0,1,0,0,1,"(1, 1)",1,"(6, 6)",6,"(3, 3)",3,"(2, 2)",2,"(2, 2)",2
PHD,2015,3,28,1,0,0,0,1,0,1,0,1,"(3, 3)",3,"(3, 3)",3,"(3, 3)",3,"(6, 6)",6,"(1, 1)",1
Bachelors,2017,2,26,4,0,0,0,1,1,0,0,1,"(1, 1)",1,"(5, 5)",5,"(2, 2)",2,"(4, 4)",4,"(4, 4)",4
Bachelors,2013,2,27,5,0,1,0,0,1,0,0,1,"(1, 1)",1,"(1, 1)",1,"(2, 2)",2,"(5, 5)",5,"(5, 5)",5
Bachelors,2013,3,25,3,0,0,0,1,0,1,0,1,"(1, 1)",1,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3,"(3, 3)",3
Bachelors,2013,3,28,1,0,0,1,0,1,0,0,1,"(1, 1)",1,"(1, 1)",1,"(3, 3)",3,"(6, 6)",6,"(1, 1)",1
Bachelors,2017,3,24,2,0,0,1,0,1,0,0,1,"(1, 1)",1,"(5, 5)",5,"(3, 3)",3,"(2, 2)",2,"(2, 2)",2
Bachelors,2015,3,28,2,0,1,0,0,1,0,1,0,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3,"(6, 6)",6,"(2, 2)",2
Bachelors,2015,3,28,3,0,0,1,0,1,0,0,1,"(1, 1)",1,"(3, 3)",3,"(3, 3)",3,"(6, 6)",6,"(3, 3)",3
Bachelors,2014,2,25,3,1,0,1,0,0,1,0,1,"(1, 1)",1,"(2, 2)",2,"(2, 2)",2,"(3, 3)",3,"(3, 3)",3
Bachelors,2014,2,26,4,1,0,1,0,0,1,0,1,"(1, 1)",1,"(2, 2)",2,"(2, 2)",2,"(4, 4)",4,"(4, 4)",4
PHD,2013,3,24,2,0,0,0,1,1,0,0,1,"(3, 3)",3,"(1, 1)",1,"(3, 3)",3,"(2, 2)",2,"(2, 2)",2
Bachelors,2015,2,26,4,1,0,1,0,0,1,0,1,"(1, 1)",1,"(3, 3)",3,"(2, 2)",2,"(4, 4)",4,"(4, 4)",4
Masters,2013,2,27,5,1,0,1,0,1,0,0,1,"(2, 2)",2,"(1, 1)",1,"(2, 2)",2,"(5, 5)",5,"(5, 5)",5
Masters,2017,3,28,2,0,1,0,0,1,0,0,1,"(2, 2)",2,"(5, 5)",5,"(3, 3)",3,"(6, 6)",6,"(2, 2)",2
Masters,2013,2,28,2,1,1,0,0,0,1,0,1,"(2, 2)",2,"(1, 1)",1,"(2, 2)",2,"(6, 6)",6,"(2, 2)",2
Masters,2017,3,28,1,1,0,1,0,1,0,0,1,"(2, 2)",2,"(5, 5)",5,"(3, 3)",3,"(6, 6)",6,"(1, 1)",1
Bachelors,2018,3,27,5,1,1,0,0,0,1,0,1,"(1, 1)",1,"(6, 6)",6,"(3, 3)",3,"(5, 5)",5,"(5, 5)",5
Bachelors,2014,3,25,3,0,0,0,1,0,1,0,1,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(3, 3)",3,"(3, 3)",3
Bachelors,2013,2,25,3,1,0,1,0,0,1,0,1,"(1, 1)",1,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(3, 3)",3
Masters,2012,3,26,4,1,0,0,1,1,0,0,1,"(2, 2)",2,"(0, 0)",0,"(3, 3)",3,"(4, 4)",4,"(4, 4)",4
Bachelors,2013,2,26,4,0,0,1,0,1,0,0,1,"(1, 1)",1,"(1, 1)",1,"(2, 2)",2,"(4, 4)",4,"(4, 4)",4
Bachelors,2018,3,28,2,1,1,0,0,0,1,0,1,"(1, 1)",1,"(6, 6)",6,"(3, 3)",3,"(6, 6)",6,"(2, 2)",2
Bachelors,2015,1,24,2,1,0,1,0,0,1,1,0,"(1, 1)",1,"(3, 3)",3,"(1, 1)",1,"(2, 2)",2,"(2, 2)",2
Bachelors,2013,3,28,2,0,0,1,0,1,0,0,1,"(1, 1)",1,"(1, 1)",1,"(3, 3)",3,"(6, 6)",6,"(2, 2)",2
Bachelors,2015,2,27,5,1,0,1,0,0,1,1,0,"(1, 1)",1,"(3, 3)",3,"(2, 2)",2,"(5, 5)",5,"(5, 5)",5
Bachelors,2018,3,25,3,1,1,0,0,1,0,0,1,"(1, 1)",1,"(6, 6)",6,"(3, 3)",3,"(3, 3)",3,"(3, 3)",3
Bachelors,2014,2,27,5,1,0,1,0,0,1,0,1,"(1, 1)",1,"(2, 2)",2,"(2, 2)",2,"(5, 5)",5,"(5, 5)",5
Bachelors,2013,3,24,2,0,0,1,0,1,0,0,1,"(1, 1)",1,"(1, 1)",1,"(3, 3)",3,"(2, 2)",2,"(2, 2)",2
Bachelors,2014,3,24,2,0,0,1,0,1,0,0,1,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(2, 2)",2,"(2, 2)",2
PHD,2015,2,25,3,0,0,0,1,0,1,0,1,"(3, 3)",3,"(3, 3)",3,"(2, 2)",2,"(3, 3)",3,"(3, 3)",3
Bachelors,2014,3,26,4,0,1,0,0,1,0,1,0,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(4, 4)",4,"(4, 4)",4
Bachelors,2018,3,24,2,1,1,0,0,1,0,0,1,"(1, 1)",1,"(6, 6)",6,"(3, 3)",3,"(2, 2)",2,"(2, 2)",2
Bachelors,2014,3,24,2,0,0,0,1,0,1,0,1,"(1, 1)",1,"(2, 2)",2,"(3, 3)",3,"(2, 2)",2,"(2, 2)",2
Bachelors,2012,3,28,1,0,0,0,1,1,0,0,1,"(1, 1)",1,"(0, 0)",0,"(3, 3)",3,"(6, 6)",6,"(1, 1)",1
Bachelors,2016,3,25,3,0,0,1,0,1,0,0,1,"(1, 1)",1,"(4, 4)",4,"(3, 3)",3,"(3, 3)",3,"(3, 3)",3
Bachelors,2013,2,28,3,1,0,1,0,0,1,0,1,"(1, 1)",1,"(1, 1)",1,"(2, 2)",2,"(6, 6)",6,"(3, 3)",3
Bachelors,2014,2,24,2,1,0,1,0,0,1,0,1,"(1, 1)",1,"(2, 2)",2,"(2, 2)",2,"(2, 2)",2,"(2, 2)",2
Bachelors,2016,3,26,4,0,0,1,0,1,0,0,1,"(1, 1)",1,"(4, 4)",4,"(3, 3)",3,"(4, 4)",4,"(4, 4)",4
